,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover,factor,symbol
0,2015-01-05,12.25,12.47,12.63,11.94,13557.0,25422823.0,5.7,3.06,0.37,0.57,1.0,x601799
1,2015-01-06,12.43,12.69,12.76,12.25,23594.0,44880321.0,4.09,1.76,0.22,0.99,1.0,x601799
2,2015-01-07,12.71,12.4,12.71,12.34,10859.0,20575635.0,2.92,-2.29,-0.29,0.45,1.0,x601799
3,2015-01-08,12.33,12.4,12.55,12.21,9887.0,18634347.0,2.74,0.0,0.0,0.41,1.0,x601799
4,2015-01-09,12.31,12.37,12.63,12.25,13330.0,25195475.0,3.06,-0.24,-0.03,0.56,1.0,x601799
5,2015-01-12,12.35,12.04,12.44,11.95,8278.0,15404557.0,3.96,-2.67,-0.33,0.35,1.0,x601799
6,2015-01-13,12.05,12.31,12.31,12.05,12317.0,22985769.0,2.16,2.24,0.27,0.52,1.0,x601799
7,2015-01-14,12.37,12.65,12.72,12.14,14792.0,28111367.0,4.71,2.76,0.34,0.62,1.0,x601799
8,2015-01-15,12.65,12.68,12.93,12.55,14473.0,27882538.0,3.0,0.24,0.03,0.61,1.0,x601799
9,2015-01-16,12.72,12.81,12.88,12.49,14493.0,27757374.0,3.08,1.03,0.13,0.61,1.0,x601799
10,2015-01-19,12.61,12.55,13.21,12.23,23680.0,45865170.0,7.65,-2.03,-0.26,0.99,1.0,x601799
11,2015-01-20,12.64,13.6,13.62,12.64,28315.0,55600873.0,7.81,8.37,1.05,1.19,1.0,x601799
12,2015-01-21,13.54,13.76,13.97,13.49,28220.0,57054409.0,3.53,1.18,0.16,1.18,1.0,x601799
13,2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x601799
14,2015-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x601799
15,2015-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x601799
16,2015-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x601799
17,2015-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x601799
18,2015-01-29,13.75,14.01,14.77,13.53,37437.0,77477590.0,9.01,1.82,0.25,1.57,1.0,x601799
19,2015-01-30,14.03,13.98,14.53,13.93,19395.0,40108009.0,4.28,-0.21,-0.03,0.81,1.0,x601799
20,2015-02-02,13.63,13.86,13.98,13.44,12893.0,26108744.0,3.86,-0.86,-0.12,0.54,1.0,x601799
21,2015-02-03,13.76,13.94,14.11,13.76,11185.0,22776413.0,2.53,0.58,0.08,0.47,1.0,x601799
22,2015-02-04,13.96,13.63,14.01,13.55,12171.0,24604218.0,3.3,-2.22,-0.31,0.51,1.0,x601799
23,2015-02-05,13.69,13.19,13.76,13.19,12347.0,24699341.0,4.18,-3.23,-0.44,0.52,1.0,x601799
24,2015-02-06,13.28,12.73,13.28,12.66,10766.0,20954749.0,4.7,-3.49,-0.46,0.45,1.0,x601799
25,2015-02-09,12.7,12.55,12.98,12.51,8549.0,16363887.0,3.69,-1.41,-0.18,0.36,1.0,x601799
26,2015-02-10,12.55,13.29,13.31,12.54,13402.0,26241443.0,6.14,5.9,0.74,0.56,1.0,x601799
27,2015-02-11,13.32,13.38,13.49,13.11,12052.0,23927408.0,2.86,0.68,0.09,0.5,1.0,x601799
