,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover
0,2020-01-02,4121.35,4152.24,4172.66,4121.35,182116772,270105530368.0,1.25,1.36,55.66,0.65
1,2020-01-03,4161.22,4144.96,4164.3,4131.86,142826245,215216287744.0,0.78,-0.18,-7.28,0.51
2,2020-01-06,4120.52,4129.3,4170.64,4102.38,175309952,250182070272.0,1.65,-0.38,-15.66,0.63
3,2020-01-07,4137.4,4160.23,4161.25,4135.1,139489032,196389060608.0,0.63,0.75,30.93,0.5
4,2020-01-08,4139.63,4112.32,4149.81,4101.98,167585851,212406263808.0,1.15,-1.15,-47.91,0.6
5,2020-01-09,4145.53,4164.37,4165.66,4143.59,136886323,200150351872.0,0.54,1.27,52.05,0.49
6,2020-01-10,4177.58,4163.18,4180.98,4148.48,113031718,177827414016.0,0.78,-0.03,-1.19,0.4
7,2020-01-13,4166.93,4203.99,4203.99,4148.6,119691983,199795490816.0,1.33,0.98,40.81,0.43
8,2020-01-14,4215.16,4189.89,4223.51,4188.08,129320783,196221263872.0,0.84,-0.34,-14.1,0.46
9,2020-01-15,4186.88,4166.73,4193.87,4150.88,104633137,163081932800.0,1.03,-0.55,-23.16,0.37
10,2020-01-16,4174.82,4149.04,4175.29,4142.18,100267643,156242505728.0,0.79,-0.42,-17.69,0.36
11,2020-01-17,4162.19,4154.85,4177.03,4141.64,98725683,166591590400.0,0.85,0.14,5.81,0.35
12,2020-01-20,4170.74,4185.83,4185.96,4149.49,122409147,202692288512.0,0.88,0.75,30.98,0.44
13,2020-01-21,4165.02,4114.31,4165.02,4113.33,130527506,204586881024.0,1.23,-1.71,-71.52,0.47
14,2020-01-22,4093.8,4131.93,4141.18,4046.49,126758764,208136151040.0,2.3,0.43,17.62,0.45
15,2020-01-23,4093.32,4003.9,4103.52,3972.39,160357604,250409357312.0,3.17,-3.1,-128.03,0.57
16,2020-02-03,3639.91,3688.36,3732.16,3639.91,157559647,243303104512.0,2.3,-7.88,-315.54,0.56
17,2020-02-04,3652.0,3785.64,3786.86,3652.0,213933327,298165768192.0,3.66,2.64,97.28,0.76
18,2020-02-05,3801.1,3828.53,3866.01,3781.61,174925524,264042921984.0,2.23,1.13,42.89,0.62
19,2020-02-06,3841.75,3899.78,3914.92,3806.96,176462236,262820089856.0,2.82,1.86,71.25,0.63
20,2020-02-07,3879.55,3899.87,3899.88,3849.71,151731758,237508816896.0,1.29,0.0,0.09,0.54
21,2020-02-10,3872.37,3916.01,3920.17,3861.01,148406968,229625442304.0,1.52,0.41,16.14,0.53
22,2020-02-11,3926.42,3952.46,3970.52,3915.71,143441674,219307118592.0,1.4,0.93,36.45,0.51
23,2020-02-12,3945.67,3984.43,3984.43,3940.67,126710321,200776708096.0,1.11,0.81,31.97,0.45
24,2020-02-13,3985.88,3959.92,3999.55,3950.14,145001843,228605964288.0,1.24,-0.62,-24.51,0.52
25,2020-02-14,3954.23,3987.73,4001.56,3954.02,143239803,222895075328.0,1.2,0.7,27.81,0.51
26,2020-02-17,3999.65,4077.42,4077.45,3999.65,182778970,273067819008.0,1.95,2.25,89.69,0.65
27,2020-02-18,4069.83,4057.51,4076.39,4027.79,163236219,242552516608.0,1.19,-0.49,-19.91,0.58
28,2020-02-19,4049.59,4051.31,4085.17,4042.85,169046441,257554534400.0,1.04,-0.15,-6.2,0.6
29,2020-02-20,4062.9,4144.66,4148.53,4055.81,212232625,310835589120.0,2.29,2.3,93.35,0.76
30,2020-02-21,4134.87,4149.49,4184.44,4130.17,217213604,326564003840.0,1.31,0.12,4.83,0.78
31,2020-02-24,4131.84,4132.84,4149.01,4097.18,212869304,326387802112.0,1.25,-0.4,-16.65,0.76
32,2020-02-25,4066.3,4123.85,4126.71,4020.91,244167831,372213719040.0,2.56,-0.22,-8.99,0.87
33,2020-02-26,4070.1,4073.02,4132.78,4061.13,261094062,366022418432.0,1.74,-1.23,-50.83,0.93
34,2020-02-27,4084.08,4084.88,4110.53,4067.44,181290980,282050207744.0,1.06,0.29,11.86,0.65
35,2020-02-28,3988.73,3940.05,4031.15,3928.07,230275092,330358906880.0,2.52,-3.55,-144.83,0.82
36,2020-03-02,3968.84,4069.67,4092.54,3968.84,219313559,317426204672.0,3.14,3.29,129.62,0.78
37,2020-03-03,4125.14,4091.36,4147.65,4067.91,219369777,330802585600.0,1.96,0.53,21.69,0.78
38,2020-03-04,4078.5,4115.05,4115.26,4060.73,182424730,281784864768.0,1.33,0.58,23.69,0.65
39,2020-03-05,4150.21,4206.73,4215.85,4127.04,231823114,362838831104.0,2.16,2.23,91.68,0.83
40,2020-03-06,4158.2,4138.51,4181.31,4135.39,172475717,253168631808.0,1.09,-1.62,-68.22,0.62
41,2020-03-09,4063.08,3997.13,4063.08,3995.13,208102034,305428729856.0,1.64,-3.42,-141.38,0.74
42,2020-03-10,3975.23,4082.73,4093.0,3954.75,197416402,296184434688.0,3.46,2.14,85.6,0.7
43,2020-03-11,4090.93,4028.43,4091.27,4028.4,161656110,244990873600.0,1.54,-1.33,-54.3,0.58
44,2020-03-12,3976.11,3950.91,3987.43,3926.27,157060457,233152847872.0,1.52,-1.92,-77.52,0.56
45,2020-03-13,3771.01,3895.31,3937.18,3765.15,188296722,280213454848.0,4.35,-1.41,-55.6,0.67
46,2020-03-16,3899.86,3727.84,3899.86,3720.51,185968261,282836238336.0,4.6,-4.3,-167.47,0.66
47,2020-03-17,3739.78,3709.68,3786.89,3618.31,166246129,250824024064.0,4.52,-0.49,-18.16,0.59
48,2020-03-18,3729.69,3636.26,3775.85,3636.26,155037548,244127162368.0,3.76,-1.98,-73.42,0.55
49,2020-03-19,3623.79,3589.09,3647.99,3503.19,180807406,271827468288.0,3.98,-1.3,-47.17,0.65
50,2020-03-20,3629.51,3653.22,3663.95,3588.78,139603000,211223072768.0,2.09,1.79,64.13,0.5
51,2020-03-23,3542.68,3530.31,3585.8,3523.79,137108790,197669625856.0,1.7,-3.36,-122.91,0.49
52,2020-03-24,3598.65,3625.11,3627.76,3545.45,143103022,208553840640.0,2.33,2.69,94.8,0.51
53,2020-03-25,3711.48,3722.52,3732.65,3685.99,153495959,231561519104.0,1.29,2.69,97.41,0.55
54,2020-03-26,3692.61,3698.05,3736.25,3681.27,112310666,169336311808.0,1.48,-0.66,-24.47,0.4
55,2020-03-27,3746.39,3710.06,3758.78,3709.92,124060995,186103427072.0,1.32,0.32,12.01,0.44
56,2020-03-30,3657.46,3674.11,3690.64,3637.59,126876672,180640800768.0,1.43,-0.97,-35.95,0.45
57,2020-03-31,3708.14,3686.16,3716.07,3676.2,111453025,161595510784.0,1.09,0.33,12.05,0.4
58,2020-04-01,3682.3,3675.08,3731.78,3670.97,119352620,170422566912.0,1.65,-0.3,-11.08,0.43
59,2020-04-02,3656.32,3734.53,3734.53,3652.32,115168210,168893255680.0,2.24,1.62,59.45,0.41
60,2020-04-03,3721.48,3713.22,3738.83,3698.98,99825083,150132813824.0,1.07,-0.57,-21.31,0.36
61,2020-04-07,3779.91,3798.02,3803.63,3772.21,142778030,207642820608.0,0.85,2.28,84.8,0.51
62,2020-04-08,3776.42,3780.34,3793.0,3767.29,111389514,161576771584.0,0.68,-0.47,-17.68,0.4
